Name,R,Z,Main Axis Poloidal Angle,B
55.A5.00-MSS-2001,3.2324,-2.82283,-90,-0.8836565
55.A5.00-MSS-2002,3.2324,-1.35083,-90,-1.404158
55.A5.00-MSS-2003,3.2324,0.12117,-90,-1.633589
55.A5.00-MSS-2004,3.2324,1.59318,-90,-1.403252
55.A5.00-MSS-2005,3.2324,3.06518,-90,-0.7131019
55.A5.00-MSS-2006,3.38561,4.51636,-113.2,-0.4425437
55.A5.00-MSS-2007,4.40885,5.52226,-157.8,0.3899679
55.A5.00-MSS-2008,5.85509,5.61245,166.4,-0.2132892
55.A5.00-MSS-2009,7.17685,4.97984,146.4,-0.8422241
55.A5.00-MSS-2010,8.28484,4.01702,131.7,-0.8387729
55.A5.00-MSS-2011,9.11275,2.80482,117,-0.9211769
55.A5.00-MSS-2012,9.60652,1.42237,102.3,-0.9416559
55.A5.00-MSS-2013,9.67333,-0.03945,81.6,-0.9743348
55.A5.00-MSS-2014,9.20677,-1.42935,66.2,-1.040239
55.A5.00-MSS-2015,8.61264,-2.77611,66.2,-0.9069925
55.A5.00-MSS-2016,8.00968,-4.08912,59.5,-0.8694693
55.A5.00-MSS-2017,7.00327,-5.14551,33.2,-0.8134516
55.A5.00-MSS-2018,5.63329,-5.64709,7,0.5640607
55.A5.00-MSS-2019,4.2076,-5.41204,-29.8,1.129019
55.A5.00-MSS-2020,3.3143,-4.28684,-73.3,-0.044873703
55.A6.00-MSS-2001,3.2324,-2.82283,-180,-0.6690671
55.A6.00-MSS-2002,3.2324,-1.35083,-180,-0.2137522
55.A6.00-MSS-2003,3.2324,0.12117,-180,0.1428705
55.A6.00-MSS-2004,3.2324,1.59318,-180,0.3942407
55.A6.00-MSS-2005,3.2324,3.06518,-180,0.2119418
55.A6.00-MSS-2006,3.38561,4.51636,156.8,0.3202337
55.A6.00-MSS-2007,4.40885,5.52226,112.2,0.1361844
55.A6.00-MSS-2008,5.85509,5.61245,76.4,-0.624603
55.A6.00-MSS-2009,7.17685,4.97984,56.4,-0.3787804
